meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID43700_OID21372	OID43700_OID21372	OID43700	P58499	FAM3B	OID21372	P58499	FAM3B
OID43603_OID21373	OID43603_OID21373	OID43603	O15263	DEFB4A_DEFB4B	OID21373	O15263	DEFB4A_DEFB4B
OID44199_OID21374	OID44199_OID21374	OID44199	P80511	S100A12	OID21374	P80511	S100A12
OID44249_OID21375	OID44249_OID21375	OID44249	Q8IXJ6	SIRT2	OID21375	Q8IXJ6	SIRT2
OID43772_OID21376	OID43772_OID21376	OID43772	Q99795	GPA33	OID21376	Q99795	GPA33
OID43738_OID21377	OID43738_OID21377	OID43738	Q86SF2	GALNT7	OID21377	Q86SF2	GALNT7
OID43999_OID21378	OID43999_OID21378	OID43999	Q8WXI7	MUC16	OID21378	Q8WXI7	MUC16
OID43745_OID21379	OID43745_OID21379	OID43745	Q02742	GCNT1	OID21379	Q02742	GCNT1
OID43991_OID21380	OID43991_OID21380	OID43991	Q13421	MSLN	OID21380	Q13421	MSLN
OID44393_OID21381	OID44393_OID21381	OID44393	Q7Z5L0	VMO1	OID21381	Q7Z5L0	VMO1
OID44387_OID21382	OID44387_OID21382	OID44387	Q99536	VAT1	OID21382	Q99536	VAT1
OID43357_OID21383	OID43357_OID21383	OID43357	P05187	ALPP	OID21383	P05187	ALPP
OID43981_OID21384	OID43981_OID21384	OID43981	Q16653	MOG	OID21384	Q16653	MOG
OID43807_OID21385	OID43807_OID21385	OID43807	P08397	HMBS	OID21385	P08397	HMBS
OID43457_OID21386	OID43457_OID21386	OID43457	Q9NTU7	CBLN4	OID21386	Q9NTU7	CBLN4
OID43445_OID21387	OID43445_OID21387	OID43445	Q9P1Z2	CALCOCO1	OID21387	Q9P1Z2	CALCOCO1
OID44039_OID21388	OID44039_OID21388	OID44039	P01303	NPY	OID21388	P01303	NPY
OID43646_OID21389	OID43646_OID21389	OID43646	Q14213_Q8NEV9	EBI3_IL27	OID21389	Q14213_Q8NEV9	EBI3_IL27
OID44247_OID21390	OID44247_OID21390	OID44247	Q9Y336	SIGLEC9	OID21390	Q9Y336	SIGLEC9
OID43899_OID21391	OID43899_OID21391	OID43899	Q9Y5K2	KLK4	OID21391	Q9Y5K2	KLK4
OID43560_OID21392	OID43560_OID21392	OID43560	P16870	CPE	OID21392	P16870	CPE
OID43880_OID21393	OID43880_OID21393	OID43880	P26010	ITGB7	OID21393	P26010	ITGB7
OID44245_OID21394	OID44245_OID21394	OID44245	O43699	SIGLEC6	OID21394	O43699	SIGLEC6
OID43790_OID21395	OID43790_OID21395	OID43790	Q9UJM8	HAO1	OID21395	Q9UJM8	HAO1
OID44082_OID21396	OID44082_OID21396	OID44082	Q15116	PDCD1	OID21396	Q15116	PDCD1
OID43686_OID21397	OID43686_OID21397	OID43686	Q9H6S3	EPS8L2	OID21397	Q9H6S3	EPS8L2
OID44416_OID21398	OID44416_OID21398	OID44416	P47992	XCL1	OID21398	P47992	XCL1
OID43595_OID21399	OID43595_OID21399	OID43595	Q14203	DCTN1	OID21399	Q14203	DCTN1
OID44211_OID21400	OID44211_OID21400	OID44211	P13521	SCG2	OID21400	P13521	SCG2
OID43439_OID21401	OID43439_OID21401	OID43439	Q9ULX7	CA14	OID21401	Q9ULX7	CA14
OID43710_OID21402	OID43710_OID21402	OID43710	Q9NSA1	FGF21	OID21402	Q9NSA1	FGF21
OID44358_OID21403	OID44358_OID21403	OID44358	O43715	TRIAP1	OID21403	O43715	TRIAP1
OID44124_OID21404	OID44124_OID21404	OID44124	P30041	PRDX6	OID21404	P30041	PRDX6
OID43581_OID21405	OID43581_OID21405	OID43581	O60911	CTSV	OID21405	O60911	CTSV
OID43897_OID21407	OID43897_OID21407	OID43897	Q9P0G3	KLK14	OID21407	Q9P0G3	KLK14
OID43825_OID21408	OID43825_OID21408	OID43825	O14558	HSPB6	OID21408	O14558	HSPB6
OID44256_OID21409	OID44256_OID21409	OID44256	Q9H156	SLITRK2	OID21409	Q9H156	SLITRK2
OID43634_OID21410	OID43634_OID21410	OID43634	Q9C005	DPY30	OID21410	Q9C005	DPY30
OID43711_OID21411	OID43711_OID21411	OID43711	Q9GZV9	FGF23	OID21411	Q9GZV9	FGF23
OID43363_OID21412	OID43363_OID21412	OID43363	O43827	ANGPTL7	OID21412	O43827	ANGPTL7
OID43358_OID21413	OID43358_OID21413	OID43358	P02760	AMBP	OID21413	P02760	AMBP
OID43455_OID21414	OID43455_OID21414	OID43455	Q14790	CASP8	OID21414	Q14790	CASP8
OID44195_OID21415	OID44195_OID21415	OID44195	Q9BXY4	RSPO3	OID21415	Q9BXY4	RSPO3
OID43878_OID21416	OID43878_OID21416	OID43878	P06756	ITGAV	OID21416	P06756	ITGAV
OID43440_OID21417	OID43440_OID21417	OID43440	Q16790	CA9	OID21417	Q16790	CA9
OID43488_OID21418	OID43488_OID21418	OID43488	Q496F6	CD300E	OID21418	Q496F6	CD300E
OID43540_OID21419	OID43540_OID21419	OID43540	Q9H6B4	CLMP	OID21419	Q9H6B4	CLMP
OID44155_OID21420	OID44155_OID21420	OID44155	P20472	PVALB	OID21420	P20472	PVALB
OID44402_OID21421	OID44402_OID21421	OID44402	Q6PCB0	VWA1	OID21421	Q6PCB0	VWA1
OID43791_OID21422	OID43791_OID21422	OID43791	Q96D42	HAVCR1	OID21422	Q96D42	HAVCR1
OID43737_OID21423	OID43737_OID21423	OID43737	Q10471	GALNT2	OID21423	Q10471	GALNT2
OID44198_OID21424	OID44198_OID21424	OID44198	Q9BZR6	RTN4R	OID21424	Q9BZR6	RTN4R
OID44213_OID21425	OID44213_OID21425	OID44213	Q96I15	SCLY	OID21425	Q96I15	SCLY
OID43548_OID21426	OID43548_OID21426	OID43548	Q02246	CNTN2	OID21426	Q02246	CNTN2
OID43565_OID21427	OID43565_OID21427	OID43565	Q9UBG3	CRNN	OID21427	Q9UBG3	CRNN
OID43588_OID21428	OID43588_OID21428	OID43588	P98082	DAB2	OID21428	P98082	DAB2
OID43934_OID21429	OID43934_OID21429	OID43934	Q96JA1	LRIG1	OID21429	Q96JA1	LRIG1
OID43586_OID21430	OID43586_OID21430	OID43586	P10145	CXCL8	OID21430	P10145	CXCL8
OID43449_OID21431	OID43449_OID21431	OID43449	P40121	CAPG	OID21431	P40121	CAPG
OID43320_OID21432	OID43320_OID21432	OID43320	Q9NPH0	ACP6	OID21432	Q9NPH0	ACP6
OID43793_OID21433	OID43793_OID21433	OID43793	P09105	HBQ1	OID21433	P09105	HBQ1
OID43373_OID21434	OID43373_OID21434	OID43373	P27695	APEX1	OID21434	P27695	APEX1
OID43561_OID21435	OID43561_OID21435	OID43561	Q9H3G5	CPVL	OID21435	Q9H3G5	CPVL
OID44184_OID21436	OID44184_OID21436	OID44184	Q96NA2	RILP	OID21436	Q96NA2	RILP
OID43970_OID21437	OID43970_OID21437	OID43970	P50579	METAP2	OID21437	P50579	METAP2
OID43773_OID21438	OID43773_OID21438	OID43773	P35052	GPC1	OID21438	P35052	GPC1
OID43980_OID21439	OID43980_OID21439	OID43980	P39900	MMP12	OID21439	P39900	MMP12
OID43694_OID21440	OID43694_OID21440	OID43694	P13726	F3	OID21440	P13726	F3
OID43818_OID21441	OID43818_OID21441	OID43818	O60243	HS6ST1	OID21441	O60243	HS6ST1
OID43733_OID21442	OID43733_OID21442	OID43733	Q16595	FXN	OID21442	Q16595	FXN
OID44130_OID21443	OID44130_OID21443	OID44130	Q2VWP7	PRTG	OID21443	Q2VWP7	PRTG
OID43477_OID21444	OID43477_OID21444	OID43477	O95388	CCN4	OID21444	O95388	CCN4
OID43379_OID21445	OID43379_OID21445	OID43379	P05089	ARG1	OID21445	P05089	ARG1
OID44341_OID21446	OID44341_OID21446	OID44341	Q9NS68	TNFRSF19	OID21446	Q9NS68	TNFRSF19
OID44304_OID21447	OID44304_OID21447	OID44304	P09758	TACSTD2	OID21447	P09758	TACSTD2
OID44045_OID21448	OID44045_OID21448	OID44045	P80303	NUCB2	OID21448	P80303	NUCB2
OID43494_OID21449	OID43494_OID21449	OID43494	P06127	CD5	OID21449	P06127	CD5
OID44277_OID21450	OID44277_OID21450	OID44277	Q6UWN8	SPINK6	OID21450	Q6UWN8	SPINK6
OID43649_OID21451	OID43649_OID21451	OID43649	Q9HAV5	EDA2R	OID21451	Q9HAV5	EDA2R
OID43941_OID21452	OID43941_OID21452	OID43941	P09960	LTA4H	OID21452	P09960	LTA4H
OID44274_OID21453	OID44274_OID21453	OID44274	Q00796	SORD	OID21453	Q00796	SORD
OID43920_OID21454	OID43920_OID21454	OID43920	O00292	LEFTY2	OID21454	O00292	LEFTY2
OID43796_OID21455	OID43796_OID21455	OID43796	P51858	HDGF	OID21455	P51858	HDGF
OID43564_OID21456	OID43564_OID21456	OID43564	P16562	CRISP2	OID21456	P16562	CRISP2
OID43746_OID21457	OID43746_OID21457	OID43746	P56159	GFRA1	OID21457	P56159	GFRA1
OID44016_OID21458	OID44016_OID21458	OID44016	P62166	NCS1	OID21458	P62166	NCS1
OID43789_OID21459	OID43789_OID21459	OID43789	Q16775	HAGH	OID21459	Q16775	HAGH
OID43637_OID21460	OID43637_OID21460	OID43637	P32926	DSG3	OID21460	P32926	DSG3
OID44262_OID21461	OID44262_OID21461	OID44262	Q9H4F8	SMOC1	OID21461	Q9H4F8	SMOC1
OID44411_OID21462	OID44411_OID21462	OID44411	Q8WWY7	WFDC12	OID21462	Q8WWY7	WFDC12
OID43362_OID21463	OID43362_OID21463	OID43362	O15123	ANGPT2	OID21463	O15123	ANGPT2
OID44413_OID21464	OID44413_OID21464	OID44413	Q9Y5W5	WIF1	OID21464	Q9Y5W5	WIF1
OID43792_OID21465	OID43792_OID21465	OID43792	Q99075	HBEGF	OID21465	Q99075	HBEGF
OID43475_OID21466	OID43475_OID21466	OID43475	P80075	CCL8	OID21466	P80075	CCL8
OID43339_OID21467	OID43339_OID21467	OID43339	P35318	ADM	OID21467	P35318	ADM
OID43831_OID21468	OID43831_OID21468	OID43831	P35475	IDUA	OID21468	P35475	IDUA
OID43489_OID21469	OID43489_OID21469	OID43489	Q8TDQ1	CD300LF	OID21469	Q8TDQ1	CD300LF
OID44523_OID21470	OID44523_OID21470	OID44523	Q16543	CDC37	OID21470	Q16543	CDC37
OID44706_OID21471	OID44706_OID21471	OID44706	O43464	HTRA2	OID21471	O43464	HTRA2
OID44512_OID21472	OID44512_OID21472	OID44512	P20138	CD33	OID21472	P20138	CD33
OID44852_OID21473	OID44852_OID21473	OID44852	Q8NCC3	PLA2G15	OID21473	Q8NCC3	PLA2G15
OID44594_OID21474	OID44594_OID21474	OID44594	Q96PD2	DCBLD2	OID21474	Q96PD2	DCBLD2
OID44865_OID21475	OID44865_OID21475	OID44865	O14974	PPP1R12A	OID21475	O14974	PPP1R12A
OID44471_OID21476	OID44471_OID21476	OID44471	O00244	ATOX1	OID21476	O00244	ATOX1
OID44984_OID21477	OID44984_OID21477	OID44984	Q5JTD0	TJAP1	OID21477	Q5JTD0	TJAP1
OID44654_OID21478	OID44654_OID21478	OID44654	P21802	FGFR2	OID21478	P21802	FGFR2
OID44563_OID21479	OID44563_OID21479	OID44563	Q96SM3	CPXM1	OID21479	Q96SM3	CPXM1
OID44597_OID21480	OID44597_OID21480	OID44597	Q7Z4W1	DCXR	OID21480	Q7Z4W1	DCXR
OID44488_OID21481	OID44488_OID21481	OID44488	P20851	C4BPB	OID21481	P20851	C4BPB
OID44987_OID21482	OID44987_OID21482	OID44987	Q9NP84	TNFRSF12A	OID21482	Q9NP84	TNFRSF12A
OID44506_OID21483	OID44506_OID21483	OID44506	P29017	CD1C	OID21483	P29017	CD1C
OID44736_OID21484	OID44736_OID21484	OID44736	P32004	L1CAM	OID21484	P32004	L1CAM
OID44661_OID21485	OID44661_OID21485	OID44661	P41439	FOLR3	OID21485	P41439	FOLR3
OID44802_OID21486	OID44802_OID21486	OID44802	P41271	NBL1	OID21486	P41271	NBL1
OID44861_OID21487	OID44861_OID21487	OID44861	Q9NZ53	PODXL2	OID21487	Q9NZ53	PODXL2
OID44925_OID21488	OID44925_OID21488	OID44925	Q9BYH1	SEZ6L	OID21488	Q9BYH1	SEZ6L
OID44772_OID21489	OID44772_OID21489	OID44772	P21741	MDK	OID21489	P21741	MDK
OID44806_OID21490	OID44806_OID21490	OID44806	Q96NY8	NECTIN4	OID21490	Q96NY8	NECTIN4
OID44657_OID21491	OID44657_OID21491	OID44657	P35916	FLT4	OID21491	P35916	FLT4
OID44767_OID21492	OID44767_OID21492	OID44767	Q9H8J5	MANSC1	OID21492	Q9H8J5	MANSC1
OID44975_OID21493	OID44975_OID21493	OID44975	P37173	TGFBR2	OID21493	P37173	TGFBR2
OID44807_OID21494	OID44807_OID21494	OID44807	Q92832	NELL1	OID21494	Q92832	NELL1
OID45002_OID21495	OID45002_OID21495	OID45002	Q96J42	TXNDC15	OID21495	Q96J42	TXNDC15
OID44973_OID21496	OID44973_OID21496	OID44973	Q02763	TEK	OID21496	Q02763	TEK
OID44727_OID21497	OID44727_OID21497	OID44727	P35968	KDR	OID21497	P35968	KDR
OID44821_OID21498	OID44821_OID21498	OID44821	P21589	NT5E	OID21498	P21589	NT5E
OID44729_OID21499	OID44729_OID21499	OID44729	P06870	KLK1	OID21499	P06870	KLK1
OID44580_OID21500	OID44580_OID21500	OID44580	Q9UBX1	CTSF	OID21500	Q9UBX1	CTSF
OID44541_OID21501	OID44541_OID21501	OID44541	Q6FI81	CIAPIN1	OID21501	Q6FI81	CIAPIN1
OID44440_OID21502	OID44440_OID21502	OID44440	Q9UP79	ADAMTS8	OID21502	Q9UP79	ADAMTS8
OID44932_OID21503	OID44932_OID21503	OID44932	Q9HAT2	SIAE	OID21503	Q9HAT2	SIAE
OID44715_OID21504	OID44715_OID21504	OID44715	P78552	IL13RA1	OID21504	P78552	IL13RA1
OID45018_OID21505	OID45018_OID21505	OID45018	Q14508	WFDC2	OID21505	Q14508	WFDC2
OID44943_OID21506	OID44943_OID21506	OID44943	O95721	SNAP29	OID21506	O95721	SNAP29
OID44653_OID21507	OID44653_OID21507	OID44653	Q14512	FGFBP1	OID21507	Q14512	FGFBP1
OID45020_OID21508	OID45020_OID21508	OID45020	O43895	XPNPEP2	OID21508	O43895	XPNPEP2
OID44830_OID21509	OID44830_OID21509	OID44830	P07237	P4HB	OID21509	P07237	P4HB
OID44635_OID21510	OID44635_OID21510	OID44635	Q15303	ERBB4	OID21510	Q15303	ERBB4
OID44950_OID21511	OID44950_OID21511	OID44950	P09486	SPARC	OID21511	P09486	SPARC
OID44974_OID21512	OID44974_OID21512	OID44974	P48307	TFPI2	OID21512	P48307	TFPI2
OID44794_OID21513	OID44794_OID21513	OID44794	Q9UJ68	MSRA	OID21513	Q9UJ68	MSRA
OID44666_OID21514	OID44666_OID21514	OID44666	P09958	FURIN	OID21514	P09958	FURIN
OID44566_OID21515	OID44566_OID21515	OID44566	O75629	CREG1	OID21515	O75629	CREG1
OID44867_OID21516	OID44867_OID21516	OID44867	P01298	PPY	OID21516	P01298	PPY
OID44734_OID21517	OID44734_OID21517	OID44734	O60259	KLK8	OID21517	O60259	KLK8
OID44731_OID21518	OID44731_OID21518	OID44731	Q9UBX7	KLK11	OID21518	Q9UBX7	KLK11
OID44905_OID21519	OID44905_OID21519	OID44905	P26447	S100A4	OID21519	P26447	S100A4
OID44633_OID21520	OID44633_OID21520	OID44633	P04626	ERBB2	OID21520	P04626	ERBB2
OID44958_OID21521	OID44958_OID21521	OID44958	P12931	SRC	OID21521	P12931	SRC
OID44724_OID21522	OID44724_OID21522	OID44724	P18084	ITGB5	OID21522	P18084	ITGB5
OID44730_OID21523	OID44730_OID21523	OID44730	O43240	KLK10	OID21523	O43240	KLK10
OID45013_OID21524	OID45013_OID21524	OID45013	P49767	VEGFC	OID21524	P49767	VEGFC
OID44605_OID21525	OID44605_OID21525	OID44605	O00548	DLL1	OID21525	O00548	DLL1
OID44732_OID21526	OID44732_OID21526	OID44732	Q92876	KLK6	OID21526	Q92876	KLK6
OID44507_OID21527	OID44507_OID21527	OID44507	P26842	CD27	OID21527	P26842	CD27
OID44532_OID21528	OID44532_OID21528	OID44532	P13688	CEACAM1	OID21528	P13688	CEACAM1
OID44659_OID21529	OID44659_OID21529	OID44659	P15328	FOLR1	OID21529	P15328	FOLR1
OID44762_OID21530	OID44762_OID21530	OID44762	O95274	LYPD3	OID21530	O95274	LYPD3
OID44782_OID21531	OID44782_OID21531	OID44782	Q16674	MIA	OID21531	Q16674	MIA
OID42846_OID20049	OID42846_OID20049	OID42846	P16860	NPPB	OID20049	P16860	NPPB
OID43209_OID20050	OID43209_OID20050	OID43209	P19429	TNNI3	OID20050	P19429	TNNI3
OID41296_OID20051	OID41296_OID20051	OID41296	P61978	HNRNPK	OID20051	P61978	HNRNPK
OID40986_OID20052	OID40986_OID20052	OID40986	P17676	CEBPB	OID20052	P17676	CEBPB
OID42011_OID20053	OID42011_OID20053	OID42011	P08670	VIM	OID20053	P08670	VIM
OID41012_OID20054	OID41012_OID20054	OID41012	O96017	CHEK2	OID20054	O96017	CHEK2
OID41054_OID20055	OID41054_OID20055	OID41054	P34998	CRHR1	OID20055	P34998	CRHR1
OID43244_OID20056	OID43244_OID20056	OID43244	Q969D9	TSLP	OID20056	Q969D9	TSLP
OID41470_OID20057	OID41470_OID20057	OID41470	P55082	MFAP3	OID20057	P55082	MFAP3
OID41922_OID20058	OID41922_OID20058	OID41922	O95988	TCL1B	OID20058	O95988	TCL1B
OID41129_OID20059	OID41129_OID20059	OID41129	Q9NRD8	DUOX2	OID20059	Q9NRD8	DUOX2
OID42333_OID20061	OID42333_OID20061	OID42333	Q16619	CTF1	OID20061	Q16619	CTF1
OID42105_OID20062	OID42105_OID20062	OID42105	P17516	AKR1C4	OID20062	P17516	AKR1C4
OID42556_OID20063	OID42556_OID20063	OID42556	Q9NRV9	HEBP1	OID20063	Q9NRV9	HEBP1
OID43064_OID20064	OID43064_OID20064	OID43064	P36952	SERPINB5	OID20064	P36952	SERPINB5
OID42564_OID20065	OID42564_OID20065	OID42564	P52789	HK2	OID20065	P52789	HK2
OID42537_OID20066	OID42537_OID20066	OID42537	P34947	GRK5	OID20066	P34947	GRK5
OID43281_OID20067	OID43281_OID20067	OID43281	Q96N03	VSTM2L	OID20067	Q96N03	VSTM2L
OID43190_OID20068	OID43190_OID20068	OID43190	P31483	TIA1	OID20068	P31483	TIA1
OID42307_OID20069	OID42307_OID20069	OID42307	Q9Y2B0	CNPY2	OID20069	Q9Y2B0	CNPY2
OID42326_OID20070	OID42326_OID20070	OID42326	O43186	CRX	OID20070	O43186	CRX
OID43275_OID20071	OID43275_OID20071	OID43275	O95183	VAMP5	OID20071	O95183	VAMP5
OID43149_OID20072	OID43149_OID20072	OID43149	Q6UWL2	SUSD1	OID20072	Q6UWL2	SUSD1
OID43002_OID20073	OID43002_OID20073	OID43002	Q9UKL0	RCOR1	OID20073	Q9UKL0	RCOR1
OID42206_OID20075	OID42206_OID20075	OID42206	P35218	CA5A	OID20075	P35218	CA5A
OID43695_OID20076	OID43695_OID20076	OID43695	P51161	FABP6	OID20076	P51161	FABP6
OID44290_OID20077	OID44290_OID20077	OID44290	Q15831	STK11	OID20077	Q15831	STK11
OID44365_OID20078	OID44365_OID20078	OID44365	O60635	TSPAN1	OID20078	O60635	TSPAN1
OID43323_OID20079	OID43323_OID20079	OID43323	P62736	ACTA2	OID20079	P62736	ACTA2
OID43996_OID20080	OID43996_OID20080	OID43996	P58546	MTPN	OID20080	P58546	MTPN
OID43653_OID20081	OID43653_OID20081	OID43653	O43854	EDIL3	OID20081	O43854	EDIL3
OID44423_OID20082	OID44423_OID20082	OID44423	Q13105	ZBTB17	OID20082	Q13105	ZBTB17
OID44147_OID20083	OID44147_OID20083	OID44147	P21246	PTN	OID20083	P21246	PTN
OID43519_OID20084	OID43519_OID20084	OID43519	O95684	CEP43	OID20084	O95684	CEP43
OID43870_OID20085	OID43870_OID20085	OID43870	Q12912	IRAG2	OID20085	Q12912	IRAG2
OID43556_OID20086	OID43556_OID20086	OID43556	P21964	COMT	OID20086	P21964	COMT
OID44786_OID20087	OID44786_OID20087	OID44786	P09237	MMP7	OID20087	P09237	MMP7
OID44111_OID20088	OID44111_OID20088	OID44111	Q15165	PON2	OID20088	Q15165	PON2
OID43771_OID20090	OID43771_OID20090	OID43771	P55259	GP2	OID20090	P55259	GP2
OID44405_OID20091	OID44405_OID20091	OID44405	Q92558	WASF1	OID20091	Q92558	WASF1
OID43983_OID20092	OID43983_OID20092	OID43983	Q99549	MPHOSPH8	OID20092	Q99549	MPHOSPH8
OID43620_OID20093	OID43620_OID20093	OID43620	Q8NHS0	DNAJB8	OID20093	Q8NHS0	DNAJB8
OID44257_OID20094	OID44257_OID20094	OID44257	Q9H5Y7	SLITRK6	OID20094	Q9H5Y7	SLITRK6
OID43781_OID20095	OID43781_OID20095	OID43781	O15354	GPR37	OID20095	O15354	GPR37
OID43788_OID20096	OID43788_OID20096	OID43788	P20718	GZMH	OID20096	P20718	GZMH
OID43785_OID20097	OID43785_OID20097	OID43785	P13807	GYS1	OID20097	P13807	GYS1
OID44322_OID20098	OID44322_OID20098	OID44322	P40225	THPO	OID20098	P40225	THPO
OID43533_OID20099	OID43533_OID20099	OID43533	Q8NC01	CLEC1A	OID20099	Q8NC01	CLEC1A
OID43678_OID20100	OID43678_OID20100	OID43678	O75354	ENTPD6	OID20100	O75354	ENTPD6
OID43515_OID20102	OID43515_OID20102	OID43515	P31997	CEACAM8	OID20102	P31997	CEACAM8
OID44203_OID20103	OID44203_OID20103	OID44203	P25815	S100P	OID20103	P25815	S100P
OID43677_OID20104	OID43677_OID20104	OID43677	O75356	ENTPD5	OID20104	O75356	ENTPD5
OID43317_OID20105	OID43317_OID20105	OID43317	Q9BYF1	ACE2	OID20105	Q9BYF1	ACE2
OID43593_OID20106	OID43593_OID20106	OID43593	P07585	DCN	OID20106	P07585	DCN
OID43761_OID20107	OID43761_OID20107	OID43761	Q04760	GLO1	OID20107	Q04760	GLO1
OID44069_OID20108	OID44069_OID20108	OID44069	Q9NWQ8	PAG1	OID20108	Q9NWQ8	PAG1
OID43327_OID20109	OID43327_OID20109	OID43327	Q13444	ADAM15	OID20109	Q13444	ADAM15
OID44384_OID20110	OID44384_OID20110	OID44384	P40818	USP8	OID20110	P40818	USP8
OID43417_OID20111	OID43417_OID20111	OID43417	P22004	BMP6	OID20111	P22004	BMP6
OID43879_OID20112	OID43879_OID20112	OID43879	Q9UKP3	ITGB1BP2	OID20112	Q9UKP3	ITGB1BP2
OID43579_OID20113	OID43579_OID20113	OID43579	P09668	CTSH	OID20113	P09668	CTSH
OID43405_OID20114	OID43405_OID20114	OID43405	P46379	BAG6	OID20114	P46379	BAG6
OID43992_OID20115	OID43992_OID20115	OID43992	O14793	MSTN	OID20115	O14793	MSTN
OID43420_OID20116	OID43420_OID20116	OID43420	Q9BWV1	BOC	OID20116	Q9BWV1	BOC
OID40770_OID20117	OID40770_OID20117	OID40770	P08319	ADH4	OID20117	P08319	ADH4
OID41032_OID20118	OID41032_OID20118	OID41032	P09496	CLTA	OID20118	P09496	CLTA
OID42420_OID20119	OID42420_OID20119	OID42420	P34913	EPHX2	OID20119	P34913	EPHX2
OID44355_OID20120	OID44355_OID20120	OID44355	Q96A56	TP53INP1	OID20120	Q96A56	TP53INP1
OID44503_OID20121	OID44503_OID20121	OID44503	Q9Y4X3	CCL27	OID20121	Q9Y4X3	CCL27
OID44455_OID20122	OID44455_OID20122	OID44455	P00568	AK1	OID20122	P00568	AK1
OID44465_OID20123	OID44465_OID20123	OID44465	P09525	ANXA4	OID20123	P09525	ANXA4
OID44436_OID20124	OID44436_OID20124	OID44436	Q15067	ACOX1	OID20124	Q15067	ACOX1
OID44544_OID20126	OID44544_OID20126	OID44544	Q05315	CLC	OID20126	Q05315	CLC
OID44551_OID20127	OID44551_OID20127	OID44551	Q6PJW8	CNST	OID20127	Q6PJW8	CNST
OID44747_OID20128	OID44747_OID20128	OID44747	P48357	LEPR	OID20128	P48357	LEPR
OID45001_OID20129	OID45001_OID20129	OID45001	P01222	TSHB	OID20129	P01222	TSHB
OID44904_OID20130	OID44904_OID20130	OID44904	P31949	S100A11	OID20130	P31949	S100A11
OID45015_OID20131	OID45015_OID20131	OID45015	Q9H7M9	VSIR	OID20131	Q9H7M9	VSIR
OID44834_OID20132	OID44834_OID20132	OID44834	O14917	PCDH17	OID20132	O14917	PCDH17
OID44841_OID20133	OID44841_OID20133	OID44841	P16234	PDGFRA	OID20133	P16234	PDGFRA
OID44525_OID20134	OID44525_OID20134	OID44525	Q12864	CDH17	OID20134	Q12864	CDH17
OID44946_OID20135	OID44946_OID20135	OID44946	Q9Y5X1	SNX9	OID20135	Q9Y5X1	SNX9
OID44823_OID20136	OID44823_OID20136	OID44823	Q16620	NTRK2	OID20136	Q16620	NTRK2
OID44437_OID20137	OID44437_OID20137	OID44437	Q03154	ACY1	OID20137	Q03154	ACY1
OID44611_OID20138	OID44611_OID20138	OID44611	O60496	DOK2	OID20138	O60496	DOK2
OID44453_OID20139	OID44453_OID20139	OID44453	P21549	AGXT	OID20139	P21549	AGXT
OID44963_OID20140	OID44963_OID20140	OID44963	Q13043	STK4	OID20140	Q13043	STK4
OID44976_OID20141	OID44976_OID20141	OID44976	P21980	TGM2	OID20141	P21980	TGM2
OID44612_OID20142	OID44612_OID20142	OID44612	Q9UHL4	DPP7	OID20142	Q9UHL4	DPP7
OID44855_OID20143	OID44855_OID20143	OID44855	O60664	PLIN3	OID20143	O60664	PLIN3
OID44856_OID20144	OID44856_OID20144	OID44856	O94903	PLPBP	OID20144	O94903	PLPBP
OID44708_OID20145	OID44708_OID20145	OID44708	Q9UMF0	ICAM5	OID20145	Q9UMF0	ICAM5
OID44869_OID20146	OID44869_OID20146	OID44869	P10644	PRKAR1A	OID20146	P10644	PRKAR1A
OID44720_OID20147	OID44720_OID20147	OID44720	P40189	IL6ST	OID20147	P40189	IL6ST
OID44596_OID20148	OID44596_OID20148	OID44596	Q9H773	DCTPP1	OID20148	Q9H773	DCTPP1
OID44858_OID20149	OID44858_OID20149	OID44858	Q6GTS8	PM20D1	OID20149	Q6GTS8	PM20D1
OID44738_OID20150	OID44738_OID20150	OID44738	Q53H82	LACTB2	OID20150	Q53H82	LACTB2
OID44645_OID20151	OID44645_OID20151	OID44645	Q13158	FADD	OID20151	Q13158	FADD
OID44535_OID20152	OID44535_OID20152	OID44535	Q99674	CGREF1	OID20152	Q99674	CGREF1
OID44748_OID20154	OID44748_OID20154	OID44748	P09382	LGALS1	OID20154	P09382	LGALS1
OID44710_OID20155	OID44710_OID20155	OID44710	Q8WX77	IGFBPL1	OID20155	Q8WX77	IGFBPL1
OID44789_OID20156	OID44789_OID20156	OID44789	P41218	MNDA	OID20156	P41218	MNDA
OID44528_OID20157	OID44528_OID20157	OID44528	P55285	CDH6	OID20157	P55285	CDH6
OID44717_OID20158	OID44717_OID20158	OID44717	Q9UHD0	IL19	OID20158	Q9UHD0	IL19
OID44434_OID20159	OID44434_OID20159	OID44434	P16112	ACAN	OID20159	P16112	ACAN
OID44857_OID20160	OID44857_OID20160	OID44857	Q9ULL4	PLXNB3	OID20160	Q9ULL4	PLXNB3
OID45005_OID20161	OID45005_OID20161	OID45005	Q06418	TYRO3	OID20161	Q06418	TYRO3
OID44621_OID20162	OID44621_OID20162	OID44621	Q13541	EIF4EBP1	OID20162	Q13541	EIF4EBP1
OID44837_OID20163	OID44837_OID20163	OID44837	O75340	PDCD6	OID20163	O75340	PDCD6
