meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID43725_OID31127	OID43725_OID31127	OID43725	Q4ZHG4	FNDC1	OID31127	Q4ZHG4	FNDC1
OID44673_OID31128	OID44673_OID31128	OID44673	P32455	GBP1	OID31128	P32455	GBP1
OID43864_OID31129	OID43864_OID31129	OID43864	P51460	INSL3	OID31129	P51460	INSL3
OID43616_OID31130	OID43616_OID31130	OID43616	Q8WW22	DNAJA4	OID31130	Q8WW22	DNAJA4
OID44280_OID31131	OID44280_OID31131	OID44280	Q9UBC9	SPRR3	OID31131	Q9UBC9	SPRR3
OID44268_OID31132	OID44268_OID31132	OID44268	P08579	SNRPB2	OID31132	P08579	SNRPB2
OID43382_OID31133	OID43382_OID31133	OID43382	Q92888	ARHGEF1	OID31133	Q92888	ARHGEF1
OID43691_OID31134	OID43691_OID31134	OID43691	A0FGR8	ESYT2	OID31134	A0FGR8	ESYT2
OID43454_OID31135	OID43454_OID31135	OID43454	P55210	CASP7	OID31135	P55210	CASP7
OID43797_OID31136	OID43797_OID31136	OID43797	Q7Z4V5	HDGFL2	OID31136	Q7Z4V5	HDGFL2
OID43731_OID31137	OID43731_OID31137	OID43731	O95954	FTCD	OID31137	O95954	FTCD
OID43955_OID31138	OID43955_OID31138	OID43955	P11137	MAP2	OID31138	P11137	MAP2
OID43361_OID31139	OID43361_OID31139	OID43361	Q01432	AMPD3	OID31139	Q01432	AMPD3
OID44427_OID31140	OID44427_OID31140	OID44427	Q9Y6X8	ZHX2	OID31140	Q9Y6X8	ZHX2
OID43802_OID31141	OID43802_OID31141	OID43802	O75146	HIP1R	OID31141	O75146	HIP1R
OID43350_OID31142	OID43350_OID31142	OID43350	P54819	AK2	OID31142	P54819	AK2
OID44325_OID31143	OID44325_OID31143	OID44325	O60220	TIMM8A	OID31143	O60220	TIMM8A
OID43568_OID31144	OID43568_OID31144	OID43568	P07320	CRYGD	OID31144	P07320	CRYGD
OID44241_OID31145	OID44241_OID31145	OID44241	Q9NR46	SH3GLB2	OID31145	Q9NR46	SH3GLB2
OID44102_OID31146	OID44102_OID31146	OID44102	Q9NRY6	PLSCR3	OID31146	Q9NRY6	PLSCR3
OID43744_OID31147	OID43744_OID31147	OID43744	Q96CN9	GCC1	OID31147	Q96CN9	GCC1
OID43887_OID31148	OID43887_OID31148	OID43887	Q9NXV2	KCTD5	OID31148	Q9NXV2	KCTD5
OID43398_OID31149	OID43398_OID31149	OID43398	P54252	ATXN3	OID31149	P54252	ATXN3
OID43407_OID31150	OID43407_OID31150	OID43407	Q8IXM2	BAP18	OID31150	Q8IXM2	BAP18
OID43798_OID31151	OID43798_OID31151	OID43798	A8MVW5	HEPACAM2	OID31151	A8MVW5	HEPACAM2
OID43410_OID31152	OID43410_OID31152	OID43410	Q07817	BCL2L1	OID31152	Q07817	BCL2L1
