phenotype	condition	pval	beta	std	pval_fdr
LIPID31	CONDITION1	0.3390802456062003	-0.0550821382271594	0.0573218311661715	0.9975111486145372
LIPID32	CONDITION1	0.9392628237473292	-0.0042159566219753	0.0551807084042052	0.9975111486145372
LIPID33	CONDITION1	0.2721707860748797	-0.0651658998137561	0.0589935537686175	0.9975111486145372
LIPID34	CONDITION1	0.9125225502910066	0.0065826222573159	0.0597569523042286	0.9975111486145372
LIPID35	CONDITION1	0.1704815187685163	0.0855333564586801	0.0619201557927677	0.9975111486145372
LIPID36	CONDITION1	0.9892617566822832	-0.0008469960072951	0.0627635391407064	0.9975111486145372
LIPID37	CONDITION1	0.5403597223324935	0.0369130703993726	0.0600662646076519	0.9975111486145372
LIPID38	CONDITION1	0.5350587098659243	-0.0389700500392299	0.0625905375262862	0.9975111486145372
LIPID39	CONDITION1	0.0102086144300416	-0.1529745541727323	0.0583388792583107	0.34028714766805335
LIPID40	CONDITION1	0.7667164560891235	-0.0166870876166328	0.0560831513239903	0.9975111486145372
LIPID41	CONDITION1	0.0716452287963077	-0.1043374939998635	0.0572604371202434	0.7960580977367523
LIPID42	CONDITION1	0.3559293393929998	0.0536298710664657	0.057805235209971	0.9975111486145372
LIPID43	CONDITION1	0.2081264105099025	-0.0741142634237426	0.0584708910524086	0.9975111486145372
LIPID44	CONDITION1	0.9975111486145372	0.0001939261913066	0.0620025303036746	0.9975111486145372
LIPID45	CONDITION1	0.423685856701112	-0.0488721305905791	0.0608176234538155	0.9975111486145372
LIPID46	CONDITION1	0.1857365759883716	0.0775701012802701	0.058185235228317	0.9975111486145372
LIPID47	CONDITION1	0.0332602110087431	0.1245680634379873	0.0576423449251555	0.6985661864018861
LIPID48	CONDITION1	0.6162335779258628	0.0299777586003179	0.0596114878013379	0.9975111486145372
LIPID49	CONDITION1	0.7581535468104057	-0.0185703576025311	0.0601343900388288	0.9975111486145372
LIPID50	CONDITION1	0.805108042643608	-0.014868673166906	0.0600883977671198	0.9975111486145372
LIPID51	CONDITION1	0.2061253958390071	-0.0789555410242068	0.0620141473356352	0.9975111486145372
LIPID52	CONDITION1	0.1619403243178842	-0.0727108148380182	0.0515760213731259	0.9975111486145372
LIPID53	CONDITION1	0.4791108298357446	0.0399401249652296	0.0562062536761365	0.9975111486145372
LIPID54	CONDITION1	0.553658842922623	-0.0385787944372879	0.0648989940355727	0.9975111486145372
LIPID55	CONDITION1	0.8540828542120078	-0.0114446775836876	0.0620565300001015	0.9975111486145372
LIPID56	CONDITION1	0.934528654122549	0.0053226329921957	0.0646177335464431	0.9975111486145372
LIPID57	CONDITION1	0.0948394999182824	0.0955017594778439	0.0565903230243739	0.948394999182824
LIPID58	CONDITION1	0.8537648462371694	0.0110929664112372	0.0600171311719769	0.9975111486145372
LIPID59	CONDITION1	0.9872133687409	-0.000995720872833	0.0619633948401028	0.9975111486145372
