phenotype	condition	pval	beta	std	pval_fdr
LIPID44	CONDITION1	0.3162509189315208	0.0640711452240811	0.0635902141945209	0.6348542659296715
LIPID45	CONDITION1	0.8238512413519015	0.0139272898401005	0.0623935924390817	0.9651783563798586
LIPID46	CONDITION1	0.0163869720391994	0.150277486218489	0.0614861388858985	0.20101682496229276
LIPID47	CONDITION1	0.0015828848466022	0.1998475085187039	0.061419724146779	0.039967842376705545
LIPID48	CONDITION1	0.1544410309645571	0.0869677809629373	0.0605802139998245	0.4874545039818834
LIPID49	CONDITION1	0.472237839925468	0.0446320335378617	0.0618383673028921	0.7226669974617009
LIPID50	CONDITION1	0.3112010386795326	0.0655001627150726	0.0643299848517499	0.6348542659296715
LIPID51	CONDITION1	0.8718537120498367	0.0109261650936464	0.0675517377264582	0.9651783563798586
LIPID52	CONDITION1	0.9661555993887236	0.0023927410726697	0.0562421010458665	0.9828859777014486
LIPID53	CONDITION1	0.0456769351010486	0.1254287305171484	0.0619323221783966	0.36500816253425483
LIPID54	CONDITION1	0.5094056919963106	0.0457541817521389	0.0690847793939677	0.7545791464976453
LIPID55	CONDITION1	0.4406641168765414	0.0489347945933503	0.0631942473727369	0.7064615207068362
LIPID56	CONDITION1	0.1802228979325017	0.0938665605265244	0.069525158491821	0.505625352532852
LIPID57	CONDITION1	0.013822478772392	0.1421478611930335	0.0566572648988462	0.19943862228737028
LIPID58	CONDITION1	0.4245629034267359	0.0471919865046181	0.0588412277477302	0.7064615207068362
LIPID59	CONDITION1	0.1965705198923229	0.0874923842035207	0.0672701137349043	0.5365843921385031
LIPID60	CONDITION1	0.0275716667066463	0.1480980091493928	0.0661696256045535	0.2784738337371276
LIPID61	CONDITION1	0.3792223871989888	0.0550520865646075	0.0623116441006237	0.6603700190878944
LIPID62	CONDITION1	0.3509712408497089	0.0552715411658728	0.0589645842574096	0.6395691060138363
LIPID63	CONDITION1	0.6077978428739339	0.0309743924547411	0.0601504729647391	0.7972413263671081
LIPID64	CONDITION1	0.844492562699551	0.013456593569404	0.0684142552985296	0.9651783563798586
LIPID65	CONDITION1	0.9731544333677709	-0.0020525491852068	0.0608306929250786	0.9828859777014486
LIPID66	CONDITION1	0.4218924201457884	0.0463365411450155	0.0574416956251616	0.7064615207068362
LIPID67	CONDITION1	0.1513204143946482	0.0795616246807773	0.054997012089886	0.4874545039818834
LIPID68	CONDITION1	0.2288837079819916	0.0808814358966146	0.0667820860881398	0.5504108215757417
LIPID69	CONDITION1	0.1400547260211826	0.0908498982876727	0.0610482977467846	0.4874545039818834
LIPID70	CONDITION1	0.1473120007203429	0.0972354870946201	0.0665477241103982	0.4874545039818834
LIPID71	CONDITION1	0.8397242968667422	-0.0121865111990841	0.0600892326444401	0.9651783563798586
LIPID72	CONDITION1	0.8116173055832108	-0.0164602265915735	0.0688680409897063	0.9651783563798586
LIPID73	CONDITION1	0.2830562484739771	0.0668310099875393	0.0619000725635924	0.6214930673015584
LIPID74	CONDITION1	0.1422814467357488	0.0874251514821554	0.0590806898614469	0.4874545039818834
LIPID75	CONDITION1	0.5557894283906057	0.0385438924553265	0.0651933861569864	0.7648412274508328
LIPID76	CONDITION1	0.1736983606161768	0.0905151419003248	0.0660303888024282	0.505625352532852
LIPID77	CONDITION1	0.2199504347487626	0.0758042972938687	0.0613856146146922	0.5504108215757417
LIPID78	CONDITION1	0.1464303533673201	0.1013578338059128	0.0692161779257142	0.4874545039818834
LIPID79	CONDITION1	0.0003357001890041	0.209771718770748	0.0563486489704743	0.011301906363138034
LIPID80	CONDITION1	0.1041675046603709	0.1105114704108239	0.0673495241633831	0.4874545039818834
LIPID81	CONDITION1	0.862354226124546	-0.0107314527394177	0.0617268830871644	0.9651783563798586
LIPID82	CONDITION1	0.9364741405120046	0.0045610522582101	0.0570732446983434	0.9828859777014486
LIPID83	CONDITION1	0.4494335580813077	0.047473379974606	0.0625032654406914	0.7092623338470637
LIPID84	CONDITION1	0.1525878916552125	0.0907790887725858	0.0629477023072846	0.4874545039818834
